"Adjusted price
(in millions)","Original price
(in millions)",Painting,Image,Artist,Year,Date of sale,"Rank
at sale",Seller,Buyer,Auction house,Aspect Width,Aspect Height,Width Percent,Area,Relative Area,Width,Height
469.7,450.3,*Salvator Mundi*,Salvator_Mundi.jpg,Leonardo da Vinci,1500,11/15/2017,1,Dmitry Rybolovlev,Badr bin Abdullah Al Saud,Christie's,1024,1506,0.68,1542144,1542144,1024,1506
324.0,300.0,*Interchange*,Interchange.jpeg,Willem de Kooning,1955,9/1/2015,1,David Geffen,Kenneth C. Griffin,Private sale,209,242,0.86,50578,1063774,958,1110
284.0,250.0,*The Card Players*,The_Card_Players.jpg,Paul Cézanne,1892,4/1/2011,1,George Embiricos,State of Qatar,Private sale,2560,1811,1.41,4636160,932444,1148,812
227.0,210.0,*Nafea Faa Ipoipo(When Will You Marry?)*,Nafea_Faa_Ipoipo.jpg,Paul Gauguin,1892,9/1/2014,2,Rudolf Staechelin heirs,State of Qatar,Private sale,1280,1701,0.75,2177280,745298,749,995
216.0,200.0,*Number 17A*,Number_17a.jpg,Jackson Pollock,1948,9/1/2015,4,David Geffen,Kenneth C. Griffin,Private sale,2048,1569,1.31,3213312,709183,962,737
201.7,183.8,*Wasserschlangen II*,Wasserschlangen.jpeg,Gustav Klimt,1904,7/5/1905,2,Yves Bouvier,Dmitry Rybolovlev,Private sale,2700,1560,1.73,4212000,662232,1071,619
201.0,186.0,"*No. 6 (Violet, Green and Red)*",No6.jpg,Mark Rothko,1951,8/1/2014,3,Cherise Moueix,Dmitry Rybolovlev,"Private sale via
Yves Bouvier",1002,1500,0.67,1503000,659934,664,994
194.0,180.0,*Pendant portraits ofMaerten Soolmansand Oopjen Coppit*,Pendant_portraits.jpeg,Rembrandt,1634,9/1/2015,7,Éric de Rothschild,"Rijksmuseum
and Louvre",Private sale,620,445,1.39,275900,636951,942,676
193.5,179.4,"*Les Femmes d'Alger(""Version O"")*",Les Femmes dalger.jpg,Pablo Picasso,1955,5/11/2015,5,Private collection 1,Hamad bin Jassim bin Jaber Al Thani,Christie's,3200,2599,1.23,8316800,635309,884,718
183.8,170.4,*Nu couché*,Nu_couche.jpg,Amedeo Modigliani,1917,11/9/2015,9,Laura Mattioli Rossi,Liu Yiqian,Christie's,3200,2015,1.59,6448000,603462,979,616
177.6,140.0,"*No. 5, 1948*",No51948.jpg,Jackson Pollock,1948,11/2/2006,1,David Geffen,David Martinez,Sotheby's,1134,1978,0.57,2243052,583106,578,1009
174.4,137.5,*Woman III*,womaniii.jpg,Willem de Kooning,1953,11/18/2006,2,David Geffen,Steven A. Cohen,Private sale via Larry Gagosian,1600,2274,0.70,3638400,572599,635,902
172.1,165.0,*Masterpiece*,Masterpiece.jpg,Roy Lichtenstein,1962,1/1/2017,12,Agnes Gund,Steven A. Cohen,Private sale,1192,1200,0.99,1430400,565048,749,754
171.2,135.0,*Portrait of Adele Bloch-Bauer I*,Adele.jpg,Gustav Klimt,1907,6/18/2006,1,Maria Altmann,"Ronald Lauder, Neue Galerie",Christie's,2036,2035,1.00,4143260,562093,750,750
170.1,155.0,*Le Rêve*,LeReve.jpg,Pablo Picasso,1932,3/26/2013,6,Steve Wynn,Steven A. Cohen,Private sale,1274,1600,0.80,2038400,558481,667,837
161.4,82.5,*Portrait of Dr. Gachet*,Dr_Gachet.jpg,Vincent van Gogh,1890,5/15/1990,1,Siegfried Kramarsky heirs,Ryoei Saito,Christie's,819,1008,0.81,825552,529917,656,808
160.1,157.2,*Nu couché (sur le côté gauche)*,Amedeo_Modigliani.jpg,Amedeo Modigliani,1917,5/15/2018,,Ezra and David Nahmad,unknown 14,Sotheby's,2400,1465,1.64,3516000,525649,928,566
159.8,150.0,*Adele Bloch-Bauer II*,Klimt_047.jpg,Gustav Klimt,1912,7/8/1905,10,Oprah Winfrey,Unidentified buyer in China,Private sale via Larry Gagosian,1576,2590,0.61,4081840,524664,565,929
156.3,142.4,*Three Studies of Lucian Freud*,ThreeStudies.jpg,Francis Bacon,1969,11/12/2013,8,unknown 1,Elaine Wynn,Christie's,3280,1471,2.23,4824880,513172,1070,480
152.8,78.1,"*Bal du moulin de la Galette*
[note 8]",Le_Moulin_de_la_Galette.jpg,Pierre-Auguste Renoir,1876,5/17/1990,2,Betsey Whitney,Ryoei Saito,Sotheby's,2200,1639,1.34,3605800,501681,821,611
146.9,140.8,*Twelve Landscape Screens*,TwelveScreens.jpg,Qi Baishi,1925,12/17/2017,,unknown 2 ,unknown15,Beijing Poly Auction,2048,638,3.21,1306624,482310,1244,388
141.0,104.2,*Garçon à la pipe*,Garcon_a_la_pipe.jpg,Pablo Picasso,1905,5/5/2004,3,"Greentree Foundation
(Whitney family)",Guido Barilla,Sotheby's,1286,1600,0.80,2057600,462939,610,759
133.6,119.9,*The Scream* ,The_Scream_Pastel.jpg,Edvard Munch,1895,5/2/2012,8,Petter Olsen,Leon Black,Sotheby's,3003,4000,0.75,12012000,438643,574,764
131.7,120.0,*Otahi*,Paul_Gauguin_093.jpg,Paul Gauguin,1893,7/5/1905,10,Yves Bouvier,Dmitry Rybolovlev,Private sale,2048,1348,1.52,2760704,432404,811,533
131.0,118.0,*Reclining Nude With Blue Cushion*,Nu_Couche_au_coussin_Bleu.jpg,Amedeo Modigliani,1917,7/4/1905,8,Steven A. Cohen,Dmitry Rybolovlev,Private sale via Yves Bouvier,1440,900,1.60,1296000,430106,830,518
129.0,110.0,*Flag*,flag.jpg,Jasper Johns,1958,3/1/2010,7,Jean-Christophe Castelli,Steven A. Cohen,Private sale,2000,1383,1.45,2766000,423540,783,541
124.8,106.5,"*Nude, Green Leaves and Bust*",GreenLeaves.jpg,Pablo Picasso,1932,5/4/2010,9,Frances Lasker Brody estate,Leonard Blavatnik,Christie's,2216,2767,0.80,6131672,409750,573,715
123.8,58.0,*Portrait of Joseph Roulin*,Portrait_of_Joseph_Roulin.jpg,Vincent van Gogh,1889,8/1/1989,1,Private collection 2,Museum of Modern Art New York,"Private sale via
Thomas Ammann,
Fine Art Zurich",4500,5335,0.84,24007500,406467,586,694
121.3,53.9,*Irises*,Irises.jpg,Vincent van Gogh,1889,11/11/1987,1,John Whitney Payson,Alan Bond,Sotheby's,11516,8801,1.31,101352316,398259,722,552
120.8,95.2,*Dora Maar au Chat*,DoraMaar.jpg,Pablo Picasso,1941,5/3/2006,6,Gidwitz family,Boris Ivanishvili,Sotheby's,887,1200,0.74,1064400,396617,541,733
118.7,100.0,*Eight Elvises*,EightElvis.jpg,Andy Warhol,1963,10/1/2008,10,Annibale Berlingieri,The State of Qatar,Private sale via Philippe Ségalot,1200,701,1.71,841200,389722,817,477
117.1,115.0,*Young Girl with a Flower Basket*,YoungGirlFlower.jpg,Pablo Picasso,1905,5/8/2018,,David and Peggy Rockefeller,The Nahmad family,Christie's,1200,2894,0.41,3472800,384469,399,963
116.0,105.7,*Anna's Light*,AnnasLight.jpg,Barnett Newman,1968,10/4/2013,,DIC Corp.,unknown 16,Private sale,1789,800,2.24,1431200,380857,923,413
115.7,105.4,*Silver Car Crash (Double Disaster)*,SilverCarCrash.jpg,Andy Warhol,1963,11/13/2013,,unknown 3,unknown 17,Sotheby's,2048,1311,1.56,2684928,379872,770,493
115.3,110.5,*Untitled*,Untitled.jpg,Jean-Michel Basquiat,1982,5/18/2017,,Basquiat family,Yusaku Maezawa,Sotheby's,961,1024,0.94,984064,378559,596,635
112.2,71.5,*Portrait de l'artiste sans barbe*,*Portrait de l'artiste sans barbe*.jpg,Vincent van Gogh,1889,11/19/1998,5,Jacques Koerfer heirs,unknown 18,Christie's,1200,1506,0.80,1807200,368381,542,680
110.7,110.7,*Meules*,Meules.jpg,Claude Monet,1890,5/14/2019,,unknown 4,unknown 19,Sotheby's,2000,1564,1.28,3128000,363456,682,533
110.0,100.0,*La Montagne Sainte-Victoirevue du bosquet du Château Noir*,La_Montagne_Sainte-Victoire_vue_du_bosquet_du_Château_Noir.jpg,Paul Cézanne,1904,1/1/2013,,Edsel and Eleanor Ford House,State of Qatar,Private sale,2628,2059,1.28,5411052,361158,679,532
109.0,76.7,*Massacre of the Innocents*,Le_Massacre.jpeg,Peter Paul Rubens,1611,7/10/2002,6,an Austrian family,Kenneth Thomson,Sotheby's,3422,2541,1.35,8695302,357875,694,515
102.9,95.4,*Nurse*,Nurse.jpg,Roy Lichtenstein,1964,11/9/2015,,unknown 5,unknown 20,Christie's,1440,810,1.78,1166400,337847,775,436
102.5,86.3,"*Triptych, 1976*",Triptych.png,Francis Bacon,1976,5/14/2008,,Jean-Pierre Moueix heirs,Roman Abramovich,Sotheby's,1508,662,2.28,998296,336533,876,384
101.7,49.3,*Les Noces de Pierrette*,LesNocesdePierrette.jpeg,Pablo Picasso,1905,11/30/1989,3,Fredrik Roos,Tomonori Tsurumaki,Binoche et Godeau Paris,274,184,1.49,50416,333907,705,474
101.5,80.0,*False Start*,FalseStart.jpeg,Jasper Johns,1959,10/12/2006,11,David Geffen,Kenneth C. Griffin,Private sale via Richard Gray,183,275,0.67,50325,333250,471,708
100.9,85.0,*Te Fare (La maison)*,Te_Fare.jpg,Paul Gauguin,1892,6/1/2008,,Yves Bouvier,Dmitry Rybolovlev,Private sale,3200,2510,1.27,8032000,331280,650,510
100.9,57.0,*A Wheatfield with Cypresses*,Wheat_Field.jpg,Vincent van Gogh,1889,5/1/1993,6,Emil Georg Bührle's son,Walter H. Annenberg,Private sale via Steven Mazoh,5319,4226,1.26,22478094,331280,646,513
98.7,47.8,"*Yo, Picasso*",YoPicasso.jpg,Pablo Picasso,1901,5/9/1989,2,Wendell Cherry,Stavros Niarchos,Sotheby's,1696,2048,0.83,3473408,324057,518,626
98.6,80.0,*Turquoise Marilyn*,Andy-Warhol-Turquoise-Marilyn-1964.jpg,Andy Warhol,1964,5/20/2007,,Stefan Edlis,Steven A. Cohen,Private sale via Larry Gagosian,943,940,1.00,886420,323729,570,568
97.3,70.0,*Portrait of Alfonso d'Avalos with a Page*,Portrait_of_Alfonso_dAvalos.jpg,Titian,1533,11/1/2003,10,AXA insurance company,Getty Museum,"Private sale via
Hervé Aaron",3297,4243,0.78,13989171,319461,498,641
96.8,86.9,"*Orange, Red, Yellow*",orange-red-yellow.jpg,Mark Rothko,1961,5/8/2012,,David Pincus estate,unknown 21,Christie's,1777,2036,0.87,3617972,317819,527,603
95.7,80.5,*Le Bassin aux Nymphéas*,Le_bassin_aux_nymphéas.jpg,Claude Monet,1919,6/24/2008,,J. Irwin and Xenia S. Miller,unknown 22,Christie's,2233,1096,2.04,2447368,314207,800,393
93.6,91.9,*Chop Suey*,ChopSuey.jpg,Edward Hopper,1929,11/13/2018,,Barney A. Ebsworth estate,unknown 23,Christie's,3200,2683,1.19,8585600,307312,605,508
92.9,60.5,"*Rideau, Cruchon et Compotier*",Cruchon_et_Compotier.jpg,Paul Cézanne,1894,5/10/1999,9,Whitney Family,unknown 24,Sotheby's,500,349,1.43,174500,305014,661,461
91.9,90.3,*Portrait of an Artist (Pool with Two Figures)*,Portraitofanartist.jpg,David Hockney,1972,11/15/2018,,unknown 6,unknown 25,Christie's,2400,1682,1.43,4036800,301731,656,460
90.9,84.2,*Black Fire I*,BlackFire.jpg,Barnett Newman,1961,5/13/2014,,Private Collection 3,Anonymous 1,Christie's,2363,3200,0.74,7561600,298448,469,636
89.8,72.8,"*White Center (Yellow, Pinkand Lavender on Rose)*",YellowPink.jpg,Mark Rothko,1950,5/15/2007,,"David Rockefeller, Sr.",Sheikh Hamad bin Khalifa Al-Thani,Sotheby's,959,1396,0.69,1338764,294836,450,655
89.3,39.7,*Vase with Fifteen Sunflowers*,Fifteen_Sunflowers.jpg,Vincent van Gogh,1889,3/30/1987,1,Helen Beatty,"Yasuo Goto, Yasuda Comp.",Christie's,529,683,0.77,361307,293195,477,615
88.8,88.8,*Buffalo II*,Buffalo.jpeg,Robert Rauschenberg,1964,5/15/2019,,Robert and Beatrice Mayer Estate,Alice Walton,Christie's,194,260,0.75,50440,291553,466,625
88.5,81.9,*Triple Elvis*,tripleelvis.jpg,Andy Warhol,1963,11/12/2014,,WestSpiel,unknown 26,Christie's,1280,1565,0.82,2003200,290568,487,596
88.4,71.7,*Green Car Crash(Green Burning Car I)*,GreenCarCrash.jpg,Andy Warhol,1963,5/16/2007,,Private collection 4,Philip Niarchos,Christie's,1280,1469,0.87,1880320,290240,503,577
88.4,81.9,*No. 10*,No10.jpg,Mark Rothko,1958,5/13/2015,,unknown 7,unknown 27,Christie's,1279,2000,0.64,2558000,290240,431,674
87.4,85.8,*Suprematist Composition*,Suprematist_Composition.jpg,Kazimir Malevich,1916,5/15/2018,,The Nahmad family,Anonymous 2,Christie's,2296,2869,0.80,6587224,286956,479,599
87.3,80.8,*Three Studies for aPortrait of John Edwards*,Three portraits edwards.jpg,Francis Bacon,1984,5/13/2014,,Private Collection 5,Anonymous 3,Christie's,2501,1024,2.44,2561024,286628,837,343
86.8,81.4,*Meule*,Meule.jpg,Claude Monet,1891,11/16/2016,,unknown 8,unknown 28,Christie's,3765,2977,1.26,11208405,284986,600,475
86.2,84.7,*Nymphéas en fleur*,*Nymphéas en fleur*.jpg,Claude Monet,1914–1917,5/8/2018,,David and Peggy Rockefeller,Xin Li-Cohen,Christie's,3200,2818,1.14,9017600,283016,567,499
85.0,75.0,*Darmstadt Madonna*,Darmstadtmadonna.jpg,Hans Holbein,1526,7/12/2011,,"Donatus, Landgrave of Hesse",Reinhold Würth,"Private sale via
Christoph Graf Douglas",3300,4672,0.71,15417600,279077,444,629
84.8,81.3,*Laboureur dans un champ*,"Laboureur_dans_un_champ_-_van_Gogh_(1889-1890,_Christie's).jpg",Vincent van Gogh,1889,11/13/2017,,Nancy Lee and Perry R. Bass estate,unknown 29,Christie's,3200,2463,1.30,7881600,278420,601,463
84.2,70.6,*Diana and Actaeon*,Diana_and_Actaeon.jpg,Titian,1556–1559,2/1/2009,,Duke of Sutherland,"National Galleries of Scotland
& National Gallery, London",Private sale,6938,6339,1.09,43979982,276450,550,503
83.9,40.7,*Au Lapin Agile*,Au_Lapin_Agile.jpg,Pablo Picasso,1904,11/27/1989,5,"Linda de Roulet, daughter of Joan Whitney Payson",Walter H. Annenberg,Sotheby's,1500,1500,1.00,2250000,275465,525,525
83.8,68.0,*The Gross Clinic*,American_-_Portrait_of_Dr._Samuel_D._Gross.jpg,Thomas Eakins,1875,4/12/2007,,Thomas Jefferson University,Philadelphia Museum of Art,Private sale,4537,5627,0.81,25529699,275137,471,584
83.7,75.1,*No 1 (Royal Red and Blue)*,*No 1 (Royal Red and Blue)*.jpg,Mark Rothko,1954,11/13/2012,,John and Anne Marion,unknown 30,Sotheby's,1190,2048,0.58,2437120,274808,400,688
83.3,38.5,*Acrobate et jeune arlequin*,*Acrobate et jeune arlequin*.jpg,Pablo Picasso,1905,11/28/1988,3,Roger Janssen hiers,Mitsukoshi,Christie's,684,1230,0.56,841320,273495,390,701
82.2,80.8,*Odalisque couchée aux magnolias*,*Odalisque couchée aux magnolias*.jpg,Henri Matisse,1923,5/8/2018,,David and Peggy Rockefeller,Xin Li-Cohen,Christie's,3200,2343,1.37,7497600,269883,607,445
81.7,55.0,*Femme aux Bras Croisés*,Femme_aux_Bras_Croisés.jpg,Pablo Picasso,1902,11/8/2000,,Chauncey McCormick heirs,unknown 31,Christie's,418,580,0.72,242440,268242,440,610
80.9,69.0,"*Nude Sitting on a Divan*
(""La Belle Romaine"")",Amedeo_Modigliani_063.jpg,Amedeo Modigliani,1917,11/2/2010,,Halit Cıngıllıoglu,unknown 32,Sotheby's,1256,1984,0.63,2491904,265615,410,648
80.5,63.5,*Police Gazette*,police-gazette.jpg,Willem de Kooning,1955,10/12/2006,,David Geffen,Steven A. Cohen,Private sale via Richard Gray,900,764,1.18,687600,264302,558,474
79.8,71.7,*Diana and Callisto*,TitianDianaCallistoEdinburgh.jpg,Titian,1556–1559,3/2/2012,,Duke of Sutherland,"National Galleries of Scotland
& National Gallery, London",Private sale,4579,4226,1.08,19350854,262004,533,492
76.1,70.5,*Untitled (New York City)*,*Untitled (New York City)*.jpeg,Cy Twombly,1968,11/11/2015,,Sydney M. Irmas heirs,unknown 33,Christie's,1200,1200,1.00,1440000,249856,500,500
