"Adjusted price
(in millions)","Original price
(in millions)",Painting,PaintingImage,SellerImage,BuyerImage,Artist,Year,Date of sale,"Rank
at sale",Seller,Buyer,Auction house,Aspect Width,Aspect Height,Width Percent,Area,Relative Area,Width,Height
469.7,450.3,*Salvator Mundi*,Salvator_Mundi.jpg,DmitryRybolovlev.png,mohammedbinsalman.png,Leonardo da Vinci,1500,11/15/2017,1,Dmitry Rybolovlev,Badr bin Abdullah Al Saud,Christie's,1024,1506,0.68,1542144,1542144,1024,1506
201.0,186.0,"*No. 6 (Violet, Green and Red)*",No6.jpg,ChristianMoueix.png,DmitryRybolovlev.png,Mark Rothko,1951,8/1/2014,3,Cherise Moueix,Dmitry Rybolovlev,Private sale,1002,1500,0.67,1503000,659934,664,994
177.6,140.0,"*No. 5, 1948*",No51948.jpg,DavidGeffen.png,DavidMartinez.png,Jackson Pollock,1948,11/2/2006,1,David Geffen,David Martinez,Sotheby's,1134,1978,0.57,2243052,583106,578,1009
172.1,165.0,*Masterpiece*,Masterpiece.jpg,AgnesGund.png,StevenCohen.png,Roy Lichtenstein,1962,1/1/2017,12,Agnes Gund,Steven A. Cohen,Private sale,1192,1200,0.99,1430400,565048,749,754
170.1,155.0,*Le Rêve*,LeReve.jpg,SteveWynn.png,StevenCohen.png,Pablo Picasso,1932,3/26/2013,6,Steve Wynn,Steven A. Cohen,Private sale,1274,1600,0.80,2038400,558481,667,837
131.0,118.0,*Reclining Nude With Blue Cushion*,Nu_Couche_au_coussin_Bleu.jpg,StevenCohen.png,DmitryRybolovlev.png,Amedeo Modigliani,1917,7/4/1905,8,Steven A. Cohen,Dmitry Rybolovlev,Private sale,1440,900,1.60,1296000,430106,830,518
129.0,110.0,*Flag*,flag.jpg,Question.png,StevenCohen.png,Jasper Johns,1958,3/1/2010,7,Jean-Christophe Castelli,Steven A. Cohen,Private sale,2000,1383,1.45,2766000,423540,783,541
101.5,80.0,*False Start*,FalseStart.jpeg,DavidGeffen.png,KennethGriffin.png,Jasper Johns,1959,10/12/2006,11,David Geffen,Kenneth C. Griffin,Private sale,183,275,0.67,50325,333250,471,708
100.9,85.0,*Te Fare (La maison)*,Te_Fare.jpg,YvesBouvier.png,DmitryRybolovlev.png,Paul Gauguin,1892,6/1/2008,,Yves Bouvier,Dmitry Rybolovlev,Private sale,3200,2510,1.27,8032000,331280,650,510
98.6,80.0,*Turquoise Marilyn*,Andy-Warhol-Turquoise-Marilyn-1964.jpg,StefanEdlis.png,StevenCohen.png,Andy Warhol,1964,5/20/2007,,Stefan Edlis,Steven A. Cohen,Private sale,943,940,1.00,886420,323729,570,568
80.5,63.5,*Police Gazette*,police-gazette.jpg,DavidGeffen.png,StevenCohen.png,Willem de Kooning,1955,10/12/2006,,David Geffen,Steven A. Cohen,Private sale,900,764,1.18,687600,264302,558,474
75.7,47.5,*Peasant Woman Against a Background of Wheat*,Vincent_Willem_van_Gogh_097.jpg,Question.png,SteveWynn.png,Vincent van Gogh,1890,6/19/1905,11,unknown 10,Steve Wynn,Private sale,1576,2002,0.79,3155152,248542,442,562
72.7,67.4,*Buste de femme(Femme à la résille)*,*Buste de femme(Femme à la résille)*.jpg,SteveWynn.png,JosephLau.png,Pablo Picasso,1938,5/11/2015,,Steve Wynn,Joseph Lau,Christie's,2737,3200,0.86,8758400,238693,452,528
